,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
362,486265,6000.0,52.12752,6.78539,2025-05-24 14:42:49.232866400+02:00,-103.78439189011036,zi-5067,,,,13.347936312593475
376,486265,6000.0,52.12785,6.78414,2025-05-24 14:42:50.651969925+02:00,-112.97234174788093,zi-5067,,,,13.34578076754331
396,486265,6000.0,52.1282,6.78276,2025-05-24 14:42:52.178427465+02:00,-115.25168111572168,zi-5067,,,,13.345619705080617
387,486265,6000.0,52.12807,6.78329,2025-05-24 14:42:51.527581761+02:00,-112.08858104195984,zi-5067,,,,13.345135351298202
471,486265,6000.0,52.13017,6.77551,2025-05-24 14:43:00.154872260+02:00,-185.61532803084987,zi-5067,,,,13.344280631079153
383,486265,6000.0,52.12798,6.78368,2025-05-24 14:42:51.196856797+02:00,-117.23693957110959,zi-5067,,,,13.344268973821968
475,486265,6000.0,52.13026,6.77521,2025-05-24 14:43:00.590239361+02:00,-190.69084928228727,zi-5067,,,,13.343841830469735
432,486265,6000.0,52.12912,6.77933,2025-05-24 14:42:56.001957834+02:00,-103.3288439885011,zi-5067,,,,13.343481635239781
448,486265,6000.0,52.12962,6.7775,2025-05-24 14:42:57.969257727+02:00,-148.29430198089202,zi-5067,,,,13.343408497364658
457,486265,6000.0,52.12985,6.77668,2025-05-24 14:42:58.845609124+02:00,-154.23666879182784,zi-5067,,,,13.34322638170383
464,486265,6000.0,52.12994,6.77637,2025-05-24 14:42:59.281507175+02:00,-189.43640093709553,zi-5067,,,,13.342923056921334
468,486265,6000.0,52.13008,6.77589,2025-05-24 14:42:59.718880254+02:00,-168.58914555806965,zi-5067,,,,13.342469030155996
452,486265,6000.0,52.12975,6.77707,2025-05-24 14:42:58.407013559+02:00,-195.45869128795476,zi-5067,,,,13.342326774261569
429,486265,6000.0,52.12903,6.77971,2025-05-24 14:42:55.565976241+02:00,-108.14018679473418,zi-5067,,,,13.34226273292868
423,486265,6000.0,52.12892,6.78013,2025-05-24 14:42:55.129035448+02:00,-115.20742163593457,zi-5067,,,,13.342056675466397
440,486265,6000.0,52.12939,6.77841,2025-05-24 14:42:56.985556825+02:00,-158.82254248059374,zi-5067,,,,13.341376871190443
443,486265,6000.0,52.12952,6.77794,2025-05-24 14:42:57.530170323+02:00,-150.81777083619824,zi-5067,,,,13.34124653221773
408,486265,6000.0,52.12848,6.78185,2025-05-24 14:42:53.166651973+02:00,-107.3116955415392,zi-5067,,,,13.340897055139527
404,486265,6000.0,52.12836,6.78233,2025-05-24 14:42:52.725710517+02:00,-112.33855081849686,zi-5067,,,,13.340503015242872
435,486265,6000.0,52.12926,6.77895,2025-05-24 14:42:56.438680205+02:00,-140.2159049466215,zi-5067,,,,13.339670967455671
